塔名,source_status,现代省份,现代城市,现代区县,辽代五京/道,辽代州府,辽代县,经度,纬度,LPSL编码,建造时期,KG建造时期,始建年份,塔类型,平面形状,层数,建筑测量高度,保护级别,修建目的,环境类型,空间隶属,所属寺庙,描述,has_莲台,has_束腰,has_仿木作,has_铺作,has_券门,has_壶门,has_飞天,has_华盖,has_假窗,has_柱子,has_叠涩,has_斗拱,has_佛像,has_力士,has_龙柱,has_经幢柱,has_素面,has_地宫,has_平座,has_塔刹,has_修缮
天开塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-c-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-c-d[type=d1]-e[col=e1](e8-e10)(e11)-d[type=d1]-g[num=2](e1-g9)-h-g[num=2](e1-g12)-h-i,辽,辽代,1050s,密檐塔,8角形,3,15.0,区级文物保护单位,寺院供奉,一般旷野,,天开寺,天开塔为八角三层密檐式砖塔，位于北京市房山区良乡天开寺。2000年代考古发掘出土了舍利。,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
云居寺南塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,115.767278,39.608819,a-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-m-d[type=d1]-e[col=e1](e8)(e11)-f-k-k-d[type=d1]-k-h-b-g[num=2](e1-g12)-i,,近代重修,1117,密檐塔,8角形,11,30.0,北京市房山区文物保护单位,寺院标志,田园,,云居寺,云居寺南塔为八角十一层密檐砖塔，整塔为近代重修。,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False
忏悔正慧大师灵塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-e()-f-h-b-h-b-h-f-i,辽,辽代,辽代,密檐塔,4角形,5,4.0,文物保护单位,高僧墓塔,田园,,云居寺,忏悔正慧大师灵塔为四角五层密檐式石塔，位于云居寺墓地。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
琬公塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-c-b-h-c-e[col=e1]-b-h-f-h-b-h-f-i,辽,辽代,辽代,密檐塔,8角形,3,8.0,文物保护单位,寺院标志,一般旷野,,云居寺,琬公塔为八角三层密檐式砖塔，位于云居寺内，为纪念通理大师（琬公）。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
忏悔上人坟塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-b-h-b-h-b-e[col=e1](e8)(e11)-b-h-b-h-b-i,辽,辽代,辽代,经幢式,8角形,2,3.0,,僧人墓塔,田园,,云居寺,忏悔上人坟塔为八角二层经幢式石塔，位于云居寺墓地。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
上方山亭阁式塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-b-d[type=d1]-e[col=e1](e8)(e11)-h-b-g[num=1](g7-g9)-b-i,辽,辽代,辽代,亭阁式,4角形,1,3.5,,供奉佛像,一般旷野,,兜率寺,上方山亭阁式塔为四角单层亭阁式石塔，位于良乡上方山兜率寺。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
昊天塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,116.147972,39.733575,a-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-b-d[type=d1]-g[num=4](g7-g10)-b-g[num=4](g7-g10)-i,辽,辽代,1110s,楼阁式塔,8角形,5,45.9,2013年被列为全国重点文物保护单位,风水镇物,田园,地标,昊天观/多宝佛塔,昊天塔（又名房山良乡多宝佛塔）...位于北京市房山区良乡城东北面的东关村燎石岗上（昊天公园内）。,False,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False
天宁寺塔,observed_structured_record,北京市,北京市,西城区,南京道,南京(燕京),,116.339722,39.893611,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-e[col=e2](e10-e10-e10/e18-e8-e18)(e6-e6/e18-e8-e18)-f-k-k-d[type=d1]-g[num=5](g6-g9)-h-g[num=6](g6-g9)-i,,辽道宗大康九年,1119,密檐塔,8角形,13,55.94,1988年被列为第三批全国重点文物保护单位,寺院标志,水域周边,寺庙主塔,天宁寺,天宁寺塔...位于北京西城区广安门外护城河西岸北滨河路西侧天宁寺内。,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,True,True
法均和尚墓塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-e[col=e1](e12/e8)(e12/e11)-f-k-k-d[type=d1]-h-g[num=2](e1-g9)-b-b-g[num=2](e1-g9)-i,辽,辽代,1060s,密檐塔,8角形,7,10.0,文物保护单位,高僧墓葬,田园,,云居寺,法均和尚墓塔为八角七层密檐式砖塔，位于云居寺墓地。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
法均和尚衣钵塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-m-d[type=d1]-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-e[col=e3](e8)(e11)-f-b-b-h-b-i,辽,辽代,1060s,密檐塔,8角形,5,5.0,文物保护单位,高僧墓葬,田园,,云居寺,法均和尚衣钵塔为八角五层密檐式石塔，位于云居寺墓地。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
